H50+工程,生産量25F1,生産量25F2,生産量26F1
DLW32SH_コア外選,12900,15200,12200
DLW32SH_巻線,12900,15200,12200
DLW32SH_ARP洗浄,12900,15200,12200
DLW32SH_F板整列,12900,15200,12200
DLW32SH_印刷/面積測定,12900,15200,12200
DLW32SH_組立/熱プレス,12900,15200,12200
DLW32SH_オーブン,12900,15200,12200
DLW32SH_移し替え,12900,15200,12200
DLW32SH_特性選別TP,12900,15200,12200
DLW32MH_XK_コア外選,12300,18400,24500
DLW32MH_XK_巻線,12300,18400,24500
DLW32MH_XK_ARP洗浄,12300,18400,24500
DLW32MH_XK_F板整列,12300,18400,24500
DLW32MH_XK_印刷/面積測定,12300,18400,24500
DLW32MH_XK_組立/熱プレス,12300,18400,24500
DLW32MH_XK_オーブン,12300,18400,24500
DLW32MH_XK_移し替え,12300,18400,24500
DLW32MH_XK_特選選別TP,12300,18400,24500
DLW32MH_XT_コア外選,5900,8200,11800
DLW32MH_XT_巻線,5900,8200,11800
DLW32MH_XT_巻き外選,5900,8200,11800
DLW32MH_XT_ARP洗浄,5900,8200,11800
DLW32MH_XT_F板整列,5900,8200,11800
DLW32MH_XT_印刷/面積測定,5900,8200,11800
DLW32MH_XT_組立/熱プレス,5900,8200,11800
DLW32MH_XT_オーブン,5900,8200,11800
DLW32MH_XT_移し替え,5900,8200,11800
DLW32MH_XT_特性選別TP,5900,8200,11800
DLW32PH_コア外選,180,210,370
DLW32PH_巻線,180,210,370
DLW32PH_ARP洗浄,180,210,370
DLW32PH_F板整列,180,210,370
DLW32PH_印刷/面積測定,180,210,370
DLW32PH_組立/熱プレス,180,210,370
DLW32PH_オーブン,180,210,370
DLW32PH_移し替え,180,210,370
DLW32PH_特性選別TP,180,210,370
DLW32SH_MF_コア外選,130,160,370
DLW32SH_MF_端子組立,130,160,370
DLW32SH_MF_オーブン1,130,160,370
DLW32SH_MF_巻線,130,160,370
DLW32SH_MF_ARP洗浄,130,160,370
DLW32SH_MF_F板整列,130,160,370
DLW32SH_MF_F板整列,130,160,370
DLW32SH_MF_印刷/面積測定,130,160,370
DLW32SH_MF_組立/熱プレス,130,160,370
DLW32SH_MF_オーブン2,130,160,370
DLW32SH_MF_移し替え,130,160,370
DLW32SH_MF_F板印字機,130,160,370
DLW32SH_MF_特性選別TP,130,160,370
DLW32MH_MK_コア外選,110,130,160
DLW32MH_MK_端子組立,110,130,160
DLW32MH_MK_オーブン1,110,130,160
DLW32MH_MK_巻線,110,130,160
DLW32MH_MK_ARP洗浄,110,130,160
DLW32MH_MK_F板整列,110,130,160
DLW32MH_MK_印刷/面積測定,110,130,160
DLW32MH_MK_組立/熱プレス,110,130,160
DLW32MH_MK_オーブン2,110,130,160
DLW32MH_MK_移し替え,110,130,160
DLW32MH_MK_F板印字機,110,130,160
DLW32MH_MK_特性選別TP,110,130,160
DLW32MH_MX_コア外選,220,780,1050
DLW32MH_MX_端子組立,220,780,1050
DLW32MH_MX_オーブン1,220,780,1050
DLW32MH_MX_巻線,220,780,1050
DLW32MH_MX_ARP洗浄,220,780,1050
DLW32MH_MX_F板整列,220,780,1050
DLW32MH_MX_印刷/面積測定,220,780,1050
DLW32MH_MX_組立/熱プレス,220,780,1050
DLW32MH_MX_オーブン2,220,780,1050
DLW32MH_MX_移し替え,220,780,1050
DLW32MH_MX_F板印字機,220,780,1050
DLW32MH_MX_特性選別TP,220,780,1050
